Index,User1.ID,User2.ID,User1.SN,User2.SN,User1.N,User2.N,L1LR-Linear.prob
24633,588139884,2301999001,'0_0_0_204','Backup_109_109','The Last Tweet','The Last Tweet',0.871
77742,3282058812,3299554916,'159RG','RGx189','Radriqalih? Mtpartyh?\xae','Radriqalih? Mtpartyh?\xae',0.876
155729,2976695151,3407915207,'22nightwalker','nightwalker__41','nightwalker/lonewolf','nightwalker/lonewolf',0.788
201723,3083567780,2905838505,'33333314_islami','islamicStrength','islam','islam',0.887
219268,3419783837,3424009600,'3abersabil13','3abersabil15','Passerby','Passerby',0.973
219270,3419783837,3424317587,'3abersabil13','3abersabil21','Passerby','Passerby',0.973
219271,3419783837,3417398782,'3abersabil13','3abersabill12','Passerby','Passerby',0.970
223156,3424009600,3424317587,'3abersabil15','3abersabil21','Passerby','Passerby',0.973
223157,3424009600,3417398782,'3abersabil15','3abersabill12','Passerby','Passerby',0.970
228548,3424233004,3424128867,'3abersabil19','Gahs22993665','Wayfarer # disabled','Wayfarer # disabled',0.835
230926,3424317587,3417398782,'3abersabil21','3abersabill12','Passerby','Passerby',0.970
274542,3388528343,3484228394,'45baqiya','baqiya61','BAQIYA SHOUTOUT 45','BAQIYA SHOUTOUT61',0.889
277797,3353834321,3307194323,'4buQitaali','AbuQitaaliAbu','AbuQitaali AlMuhajir','AbuQitaali AlMuhajir',0.786
321566,2981762121,3302473317,'62Salladin','H3_Ahmed','ahmed','Ahmed',0.823
500391,3265487972,3449263460,'aashiralamriki','Aashiralamriki8','Aashir al amriki','Aashir Al Amriki',0.863
538886,417018824,1911883202,'Abbuu__Marryaam','abu__maryam','Abu Maryam','Abu Maryam',0.816
561297,2488851507,3325515190,'Abderahman_m','Abdirahman8237','abderahman ','Abdirahman',0.871
772828,3230050403,3165379025,'AbnaAlsahaba','AhfadAlsahaba','AbnaAlsahaba','ahfad_alsahaba',0.834
1033297,3235475044,3239931657,'AbuAlbelgik','Ghuraabaaa','Abu Muhajir albelgik','Abu muhajir albelgik',0.849
1134578,1902173390,513116847,'AbuBaraaUK','Abu_Baraa1','Mizanur Rahman','Mizanur Rahman',0.795
1221587,3361751710,3731568869,'AbuHaleema16','AbuHaleema60','Abu Haleema','Abu Haleema',0.845
1221588,3361751710,3846607697,'AbuHaleema16','AbuHaleema65','Abu Haleema','Abu Haleema',0.845
1228825,3731568869,3846607697,'AbuHaleema60','AbuHaleema65','Abu Haleema','Abu Haleema',0.845
1246905,3167398456,3184130053,'Abuhanzy','abuhanzy','Abu Hanzalah','Abu Hanzalah',0.979
1248574,3167398456,3154596110,'Abuhanzy','ItsmeAbuHanzala','Abu Hanzalah','Abu Hanzalah',0.936
1252186,3184130053,3154596110,'abuhanzy','ItsmeAbuHanzala','Abu Hanzalah','Abu Hanzalah',0.936
1271706,3176355987,3430205554,'AbuHman_ZA','TruthFulFamily3','Abu Hurayra Al-Hindi','Abu Hurayra Al-Hindi',0.831
1275784,3302952363,3359721903,'AbuHu55ain_911','AbuHussain_11','AbuHussainAlBritani','AbuHussainAlBritani',0.964
1275785,3302952363,3390128721,'AbuHu55ain_911','AbuHussain_16','AbuHussainAlBritani','AbuHussainAlBritani',0.955
1275786,3302952363,3359817376,'AbuHu55ain_911','AbuHussain_8','AbuHussainAlBritani','AbuHussainAlBritani',0.949
1275935,3302952363,3233570434,'AbuHu55ain_911','Abu_Hu55ain','AbuHussainAlBritani','AbuHussainAlBritani',0.795
1286593,3344511645,3359721903,'AbuHussainBrit1','AbuHussain_11','AbuHussainAlBritani','AbuHussainAlBritani',0.788
1286594,3344511645,3390128721,'AbuHussainBrit1','AbuHussain_16','AbuHussainAlBritani','AbuHussainAlBritani',0.788
1290195,3359721903,3390128721,'AbuHussain_11','AbuHussain_16','AbuHussainAlBritani','AbuHussainAlBritani',0.973
1290196,3359721903,3359817376,'AbuHussain_11','AbuHussain_8','AbuHussainAlBritani','AbuHussainAlBritani',0.970
1293796,3390128721,3359817376,'AbuHussain_16','AbuHussain_8','AbuHussainAlBritani','AbuHussainAlBritani',0.970
1508026,3182057286,3294511683,'abuqital18','AbuqitalI','Abuqitalibntauheed','Abuqital Ibntauheed',0.960
1508027,3182057286,3294622769,'abuqital18','Abuqitall23','Abuqitalibntauheed','Abuqital ibntauheed',0.950
1511566,3294511683,3294622769,'AbuqitalI','Abuqitall23','Abuqital Ibntauheed','Abuqital ibntauheed',0.962
1550440,3309451269,3348915543,'AbuS3adAlamriki','abus3dalamriki','Abu Sa'ad Al-Amriki','Abu Sa'ad Al-Amriki',0.863
1551937,3309451269,3170687882,'AbuS3adAlamriki','Irhabi_Amriki','Abu Sa'ad Al-Amriki','Abu Khalid Al-Amriki',0.786
1557495,3171667973,3290559297,'AbuSaalihah06','AbuSaalihah07','Abu Saalihah ','Abu Saalihah ',0.847
